GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stockercloud,com.stockercloud.aws.api,DynamoDBHelper,15,3,0,0,3,1,1,1,1,1
stockercloud,com.stockercloud.aws.item.utils,ItemUtil,3,125,2,14,1,28,3,9,1,3
stockercloud,com.stockercloud.aws.item.updateitems,UpdateItemsResponse,0,3,0,0,0,1,0,1,0,1
stockercloud,com.stockercloud.aws.item.updateitems,UpdateItemsRequest,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.updateitems,UpdateItemsHandler,0,35,0,2,0,9,0,3,0,2
stockercloud,com.stockercloud.aws.item,BaseHandler,0,13,0,0,0,3,0,2,0,2
stockercloud,com.stockercloud.aws.item,InventoryItem,0,45,0,0,0,19,0,13,0,13
stockercloud,com.stockercloud.aws.item,ValidationException,0,4,0,0,0,2,0,1,0,1
stockercloud,com.stockercloud.aws.item.getshortages,Shortage,3,14,0,0,1,6,1,4,1,4
stockercloud,com.stockercloud.aws.item.getshortages,GetShortagesRequest,0,3,0,0,0,1,0,1,0,1
stockercloud,com.stockercloud.aws.item.getshortages,GetShortagesResponse,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.getshortages,GetShortagesHandler,0,100,2,6,0,20,2,4,0,2
stockercloud,com.stockercloud.aws.item.createitem,CreateItemRequest,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.createitem,CreateItemResponse,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.createitem,CreateItemHandler,0,31,0,0,0,10,0,3,0,3
stockercloud,com.stockercloud.aws.item.getitems,GetItemsRequest,0,3,0,0,0,1,0,1,0,1
stockercloud,com.stockercloud.aws.item.getitems,GetItemsHandler,0,40,0,2,0,11,0,3,0,2
stockercloud,com.stockercloud.aws.item.getitems,GetItemsResponse,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.deleteitem,DeleteItemRequest,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.deleteitem,DeleteItemResponse,0,10,0,0,0,4,0,3,0,3
stockercloud,com.stockercloud.aws.item.deleteitem,DeleteItemHandler,0,24,0,0,0,5,0,2,0,2
